id,status_raw,size,price,last_updated,Unnamed: 5,status,color
Erf-001,Unavailable,491,,2026-01-28 15:05:44,2026-01-28 15:05:44,unavailable,#d93025
Erf-002,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-003,Reserved,491,,2026-01-28 15:05:44,,reserved,#f4b400
Erf-004,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-005,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-006,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-007,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-008,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-009,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-010,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-011,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-012,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-013,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-014,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-015,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-016,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-017,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-018,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-019,Reserved,491,,2026-01-28 15:05:44,,reserved,#f4b400
Erf-020,Reserved,491,,2026-01-28 15:05:44,,reserved,#f4b400
Erf-021,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-022,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-023,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-024,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-025,Reserved,491,,2026-01-28 15:05:44,,reserved,#f4b400
Erf-026,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-027,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-028,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-029,Available,492,,2026-01-28 15:05:44,,available,#2ecc71
Erf-030,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-031,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-032,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-033,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-034,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-035,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-036,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-037,Unavailable,491,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-038,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-039,Available,499,,2026-01-28 15:05:44,,available,#2ecc71
Erf-040,Available,507,,2026-01-28 15:05:44,,available,#2ecc71
Erf-041,Available,507,,2026-01-28 15:05:44,,available,#2ecc71
Erf-042,Unavailable,521,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-043,Available,511,,2026-01-28 15:05:44,,available,#2ecc71
Erf-044,Available,504,,2026-01-28 15:05:44,,available,#2ecc71
Erf-045,Available,498,,2026-01-28 15:05:44,,available,#2ecc71
Erf-046,Unavailable,647,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-047,Unavailable,500,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-048,Available,494,,2026-01-28 15:05:44,,available,#2ecc71
Erf-049,Available,496,,2026-01-28 15:05:44,,available,#2ecc71
Erf-050,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-051,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-052,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-053,Unavailable,490,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-054,Unavailable,490,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-055,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-056,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-057,Available,492,,2026-01-28 15:05:44,,available,#2ecc71
Erf-058,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-059,Available,488,,2026-01-28 15:05:44,,available,#2ecc71
Erf-060,Unavailable,492,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-061,Available,493,,2026-01-28 15:05:44,,available,#2ecc71
Erf-062,Unavailable,494,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-063,Available,495,,2026-01-28 15:05:44,,available,#2ecc71
Erf-064,Available,497,,2026-01-28 15:05:44,,available,#2ecc71
Erf-065,Available,498,,2026-01-28 15:05:44,,available,#2ecc71
Erf-066,Available,499,,2026-01-28 15:05:44,,available,#2ecc71
Erf-067,Unavailable,499,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-068,Unavailable,500,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-069,Available,501,,2026-01-28 15:05:44,,available,#2ecc71
Erf-070,Available,501,,2026-01-28 15:05:44,,available,#2ecc71
Erf-071,Unavailable,501,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-072,Available,502,,2026-01-28 15:05:44,,available,#2ecc71
Erf-073,Available,502,,2026-01-28 15:05:44,,available,#2ecc71
Erf-074,Available,502,,2026-01-28 15:05:44,,available,#2ecc71
Erf-075,Unavailable,502,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-076,Available,486,,2026-01-28 15:05:44,,available,#2ecc71
Erf-077,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-078,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-079,Available,488,,2026-01-28 15:05:44,,available,#2ecc71
Erf-080,Available,495,,2026-01-28 15:05:44,,available,#2ecc71
Erf-081,Available,504,,2026-01-28 15:05:44,,available,#2ecc71
Erf-082,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-083,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-084,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-085,Unavailable,492,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-086,Unavailable,482,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-087,Unavailable,484,,2026-01-28 15:05:44,,unavailable,#d93025
Erf-088,Available,487,,2026-01-28 15:05:44,,available,#2ecc71
Erf-089,Available,483,,2026-01-28 15:05:44,,available,#2ecc71
Erf-090,Available,487,,2026-01-28 15:05:44,,available,#2ecc71
Erf-091,Available,488,,2026-01-28 15:05:44,,available,#2ecc71
Erf-092,Available,499,,2026-01-28 15:05:44,,available,#2ecc71
Erf-093,Available,499,,2026-01-28 15:05:44,,available,#2ecc71
Erf-094,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-095,Available,487,,2026-01-28 15:05:44,,available,#2ecc71
Erf-096,Available,490,,2026-01-28 15:05:44,,available,#2ecc71
Erf-097,Available,487,,2026-01-28 15:05:44,,available,#2ecc71
Erf-098,Available,486,,2026-01-28 15:05:44,,available,#2ecc71
Erf-099,Available,491,,2026-01-28 15:05:44,,available,#2ecc71
Erf-100,Unavailable,492,,2026-01-28 15:05:44,,unavailable,#d93025
